Species,Jaccard_dissimilarity_SpeciesExcluded_B06,Jaccard_dissimilarity_SpeciesIncluded_B06,Jaccard_dissimilarity_SpeciesExcluded_Signif_B06,Jaccard_dissimilarity_SpeciesIncluded_Signif_B06
s__Actinomyces_odontolyticus,0.736493381346544,0.674023239769149,,
s__Actinomyces_radingae,0.69492168711688,0.706735033949717,,
s__Actinomyces_sp_HMSC035G02,0.781103783707881,0.656661548598603,,
s__Actinomyces_sp_HPA0247,0.696060105838841,0.700094541269408,,
s__Actinomyces_sp_ICM47,0.705642588908716,0.616931267064302,,
s__Actinomyces_sp_oral_taxon_181,0.728699865225323,0.657355758707743,,
s__Actinomyces_urogenitalis,0.710425200856834,0.672663723853002,,
s__Akkermansia_muciniphila,0.705741275557502,0.642399149355494,,
s__Alistipes_finegoldii,0.710601472329913,0.581883515611308,,
s__Alistipes_putredinis,0.71291113328651,0.518508587022279,,
s__Anaerostipes_hadrus,0.710410776101586,0.531934032241656,0.710410776101586,0.531934032241656
s__Bacteroides_dorei,0.7078275393887,0.641414202590015,,
s__Bacteroides_fragilis,0.718662241751598,0.574227644472748,0.718662241751598,0.574227644472748
s__Bacteroides_ovatus,0.712742119336834,0.658015409783277,,
s__Bacteroides_thetaiotaomicron,0.695735081157505,0.680069665948234,,
s__Bacteroides_uniformis,0.709495819440809,0.622086321619711,,
s__Bacteroides_vulgatus,0.726589559461059,0.614726771813355,0.726589559461059,0.614726771813355
s__Bacteroides_xylanisolvens,0.697236353724243,0.658168859649123,,
s__Bifidobacterium_adolescentis,0.710589779110089,0.612164846642672,,
s__Bifidobacterium_bifidum,0.801712035610341,0.689173783114121,0.801712035610341,0.689173783114121
s__Bifidobacterium_breve,0.762121623682834,0.682452268060847,,
s__Bifidobacterium_dentium,0.718050882509485,0.602572132257881,,
s__Bifidobacterium_kashiwanohense,0.710941540818001,0.662272639883042,,
s__Bifidobacterium_longum,0.754449718801836,0.667620819724824,,
s__Bifidobacterium_pseudocatenulatum,0.737548674897536,0.594926403699668,,
s__Blautia_wexlerae,0.723081865765416,0.578036034612161,0.723081865765416,0.578036034612161
s__Clostridium_bolteae,0.709623862439313,0.585330839184277,,
s__Clostridium_innocuum,0.715944419039604,0.552732129754345,,
s__Clostridium_neonatale,0.701586083237073,0.669254953493927,,
s__Clostridium_paraputrificum,0.72569008139091,0.571096444579328,0.72569008139091,0.571096444579328
s__Clostridium_perfringens,0.713143534888672,0.612359030943817,,
s__Collinsella_aerofaciens,0.697800658510507,0.633775512062716,,
s__Collinsella_stercoris,0.685099196136401,0.673334747276662,,
s__Dorea_formicigenerans,0.715888712960448,0.528940047327752,,
s__Dorea_longicatena,0.709986638075751,0.514676363079005,,
s__Eggerthella_lenta,0.714808668762565,0.64883746960203,,
s__Enterococcus_avium,0.716721129298523,0.639527525419425,,
s__Enterococcus_casseliflavus,0.719245291443955,0.59806527212507,,
s__Enterococcus_faecalis,0.658234270594121,0.698177654690499,,
s__Enterococcus_gallinarum,0.701631808979262,0.668725881332414,,
s__Erysipelatoclostridium_ramosum,0.713038758296015,0.638654650777146,,
s__Escherichia_coli,,0.699999719283489,,0.699999719283489
s__Eubacterium_eligens,0.713177703329147,0.410793067484898,0.713177703329147,0.410793067484898
s__Eubacterium_hallii,0.71128275201797,0.499534141987463,0.71128275201797,0.499534141987463
s__Eubacterium_rectale,0.70973612991832,0.475758142259061,0.70973612991832,0.475758142259061
s__Eubacterium_siraeum,0.706969944752739,0.451531590772097,,
s__Faecalibacterium_prausnitzii,0.716239755231674,0.491524880896832,0.716239755231674,0.491524880896832
s__Flavonifractor_plautii,0.711286983586598,0.640122347468951,,
s__Fusicatenibacter_saccharivorans,0.70973612991832,0.475758142259061,0.70973612991832,0.475758142259061
s__Gemella_haemolysans,0.731896639887694,0.634564763159233,,
s__Gemella_sanguinis,0.727215603009732,0.59637302421183,0.727215603009732,0.59637302421183
s__Gordonibacter_pamelaeae,0.690767090058546,0.670751246372763,,
s__Granulicatella_elegans,0.729417922962694,0.586513369592757,0.729417922962694,0.586513369592757
s__Haemophilus_haemolyticus,0.708367558426326,0.556358728502703,,
s__Haemophilus_parainfluenzae,0.713955770843963,0.599094022623821,,
s__Intestinibacter_bartlettii,0.723549652399051,0.641200423488599,,
s__Klebsiella_oxytoca,0.717179077427906,0.667562706730573,,
s__Klebsiella_pneumoniae,0.701267911281598,0.651800089044781,,
s__Klebsiella_quasipneumoniae,0.697255403335245,0.658361698791476,,
s__Klebsiella_variicola,0.695436243439193,0.67362097116884,,
s__Lactobacillus_paragasseri,0.70006108358226,0.704204153334588,,
s__Lactobacillus_rhamnosus,0.685950234735201,0.698080945611099,,
s__Megasphaera_micronuciformis,0.707927250659433,0.575950514447984,,
s__Parabacteroides_distasonis,0.707089835616543,0.629882424139483,,
s__Parabacteroides_merdae,0.712700666962066,0.610991123850646,,
s__Prevotella_copri,0.711952613819591,0.514756577014204,,
